
@RELATION testing_data
@ATTRIBUTE text STRING
@ATTRIBUTE domain {no,yes}
@ATTRIBUTE category {no,yes}
@ATTRIBUTE FinalOff {no,yes}
@ATTRIBUTE FinalCB {no,yes}
@DATA
'حياك الله اخي عبد العزيز وعظم الله أجر الأمة في وفاة والد والدنا جميعا المغفور له بإذن الله الله يغفر له ويسكنه فسيح جناته', yes, no, no, no
'رحم الله البطل هواري بومدين والذي قال نحن مع فلسطين ظالمة أو مظلومة تحيا بلد المليون ونصف شهيد', yes, no, no, no
'يلي قتل ضباط وعناصر الجيش إرهابي ولازم ينعدم ويلي عم بدافع عن إرهابي أكبر تاجر مخدرات مجرم ولازم ينعدم', yes, no, no, no
'عبد الرحمن رافع العمري جندي سعودي استشهد عام وهو يقاتل لأجل عروبته ودينه', yes, no, no, no
'تزايد حالات الإصابة بفيروس يدفع الحكومة البريطانية إلى بحث خيار إجراء إغلاق ثان مع مراسل عربي في لندن', yes, no, no, no
'اسم الكيل كسر الحنجرة', no, yes, no, no
'من أغبي الحاجات الفترة دي ربط أي حدث مشؤوم بشخص ما زي الحاصل مع كفاية غباء ارتقوا تاني', no, no, yes, no
'حثالة مدن العالم أنصبت واستقطبت في دولة هذا وصف جمال حمدان لجماعات المحتلة التي تقطن اليوم ما يسمى بإسرائيل', yes, yes, no, yes
'الثلاثون من سبتمبر هو الذكرى العشرون على وفاة الشهيد هذه إسرائيل الكيان الصهيوني المغتصب لأراضي الفلسطينية التي تطبعون معها فلسطين بلادنا وروحنا ودمنا ونرفض رفضًا تامًا أن تصبح ملكًا لصهاينة', no, yes, no, yes
'يلعن بي الأحزاب وغنم الأحزاب يا ولاد الكلاب عليكن', yes, yes, yes, yes
'نيوكاسل بهدف قاتل يتعادل مع توتنهام وطرد هاري كين بعد المباراة', no, no, yes, no
'نائب الأمين العام لجبهة الشعبية لتحرير فلسطين أبو أحمد فؤاد البعض ينزعج من آراءنا لأننا نقول دائمًا إننا نريد الشراكة وأي حلول ثنائية لن توصلنا لما نريد نءكد أننا جميعا شركاء في المعركة والمواجهة وفي إعادة بناء منظمة التحرير على أساس ديمقراطي', yes, no, no, no
'القاضية غادة عون توقف غابي الضاهر بتهمة تحقير رئيس الجمهورية لأنه قال إن رئيس الجمهورية أوصلنا إلى جهنم علما أن الوضع الصحي لغابي لا يسمح بتوقيفه خاصة في ظل كورونا مطلوب الدعم أمام مكتب جرائم المعلوماتية', yes, no, no, no
'أكثر كلمة استخدمت حتى الآن في المناظرة بين وأخرس هلا خرست من فضلك لو تخرس لدقيقة رجاء', no, no, yes, no
'بعد الحديث عن داعش خطة أمنية لداخلية الليبية لتأمين مدن الجنوب الشرقي داعش يعود لرص صفوفه وتوسيع قدراته بهدوء', yes, no, no, no
'وفي عز النحس اللي أنت فيه هتلاقي حمار بيحسدك', yes, yes, yes, yes
'اليس هذا القاح الذي أثير حوله جدل كثير بسبب توجهات بيل غيتس بهذا الصد الم يقال
